,지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
0,서울 종로구,도시대기,111123,종로구,2023010101,0.005,1.4,0.002,0.064,68,58,서울 종로구 종로35가길 19
1,서울 종로구,도시대기,111123,종로구,2023010102,0.004,1.4,0.002,0.061,64,50,서울 종로구 종로35가길 19
2,서울 종로구,도시대기,111123,종로구,2023010103,0.004,1,0.002,0.051,67,56,서울 종로구 종로35가길 19
3,서울 종로구,도시대기,111123,종로구,2023010104,0.004,0.7,0.012,0.03,76,64,서울 종로구 종로35가길 19
4,서울 종로구,도시대기,111123,종로구,2023010105,0.004,0.7,0.021,0.017,81,64,서울 종로구 종로35가길 19
5,서울 종로구,도시대기,111123,종로구,2023010106,0.004,0.6,0.02,0.018,64,54,서울 종로구 종로35가길 19
6,서울 종로구,도시대기,111123,종로구,2023010107,0.004,0.7,0.016,0.022,66,53,서울 종로구 종로35가길 19
7,서울 종로구,도시대기,111123,종로구,2023010108,0.003,0.8,0.012,0.026,70,61,서울 종로구 종로35가길 19
8,서울 종로구,도시대기,111123,종로구,2023010109,0.003,0.8,0.014,0.024,72,60,서울 종로구 종로35가길 19
9,서울 종로구,도시대기,111123,종로구,2023010110,0.004,0.8,0.024,0.016,76,59,서울 종로구 종로35가길 19
10,서울 종로구,도시대기,111123,종로구,2023010111,0.005,0.7,0.03,0.013,73,53,서울 종로구 종로35가길 19
11,서울 종로구,도시대기,111123,종로구,2023010112,0.005,0.7,0.032,0.015,71,56,서울 종로구 종로35가길 19
12,서울 종로구,도시대기,111123,종로구,2023010113,0.005,0.7,0.033,0.017,71,58,서울 종로구 종로35가길 19
13,서울 종로구,도시대기,111123,종로구,2023010114,0.005,0.6,0.039,0.013,64,54,서울 종로구 종로35가길 19
14,서울 종로구,도시대기,111123,종로구,2023010115,0.004,0.5,0.042,0.01,50,38,서울 종로구 종로35가길 19
15,서울 종로구,도시대기,111123,종로구,2023010116,0.004,0.5,0.042,0.01,43,35,서울 종로구 종로35가길 19
16,서울 종로구,도시대기,111123,종로구,2023010117,0.003,0.4,0.038,0.012,37,26,서울 종로구 종로35가길 19
17,서울 종로구,도시대기,111123,종로구,2023010118,0.003,0.4,0.036,0.013,27,17,서울 종로구 종로35가길 19
18,서울 종로구,도시대기,111123,종로구,2023010119,0.003,0.4,0.033,0.015,27,18,서울 종로구 종로35가길 19
19,서울 종로구,도시대기,111123,종로구,2023010120,0.003,0.5,0.029,0.019,26,18,서울 종로구 종로35가길 19
20,서울 종로구,도시대기,111123,종로구,2023010121,0.003,0.5,0.031,0.016,26,18,서울 종로구 종로35가길 19
21,서울 종로구,도시대기,111123,종로구,2023010122,0.003,0.4,0.031,0.013,23,16,서울 종로구 종로35가길 19
22,서울 종로구,도시대기,111123,종로구,2023010123,0.003,0.4,0.031,0.01,17,13,서울 종로구 종로35가길 19
23,서울 종로구,도시대기,111123,종로구,2023010124,0.003,0.4,0.03,0.011,20,12,서울 종로구 종로35가길 19
24,서울 종로구,도시대기,111123,종로구,2023010201,0.003,0.4,0.027,0.012,18,16,서울 종로구 종로35가길 19
25,서울 종로구,도시대기,111123,종로구,2023010202,0.003,0.4,0.027,0.012,19,12,서울 종로구 종로35가길 19
26,서울 종로구,도시대기,111123,종로구,2023010203,0.003,0.4,0.026,0.012,20,12,서울 종로구 종로35가길 19
27,서울 종로구,도시대기,111123,종로구,2023010204,0.003,0.4,0.026,0.012,19,14,서울 종로구 종로35가길 19
28,서울 종로구,도시대기,111123,종로구,2023010205,0.003,0.4,0.026,0.012,20,16,서울 종로구 종로35가길 19
29,서울 종로구,도시대기,111123,종로구,2023010206,0.003,0.4,0.021,0.015,20,13,서울 종로구 종로35가길 19
30,서울 종로구,도시대기,111123,종로구,2023010207,0.003,0.4,0.019,0.017,21,10,서울 종로구 종로35가길 19
31,서울 종로구,도시대기,111123,종로구,2023010208,0.003,0.5,0.014,0.022,23,11,서울 종로구 종로35가길 19
32,서울 종로구,도시대기,111123,종로구,2023010209,0.003,0.5,0.013,0.023,22,15,서울 종로구 종로35가길 19
33,서울 종로구,도시대기,111123,종로구,2023010210,0.004,0.5,0.018,0.02,21,13,서울 종로구 종로35가길 19
34,서울 종로구,도시대기,111123,종로구,2023010211,0.004,0.5,0.02,0.018,22,13,서울 종로구 종로35가길 19
35,서울 종로구,도시대기,111123,종로구,2023010212,0.004,0.5,0.023,0.02,35,,서울 종로구 종로35가길 19
36,서울 종로구,도시대기,111123,종로구,2023010213,0.004,0.5,0.023,0.018,,,서울 종로구 종로35가길 19
37,서울 종로구,도시대기,111123,종로구,2023010214,0.004,0.4,0.026,0.017,26,17,서울 종로구 종로35가길 19
38,서울 종로구,도시대기,111123,종로구,2023010215,0.004,0.4,0.025,0.018,32,20,서울 종로구 종로35가길 19
39,서울 종로구,도시대기,111123,종로구,2023010216,0.004,0.4,0.027,0.017,30,15,서울 종로구 종로35가길 19
40,서울 종로구,도시대기,111123,종로구,2023010217,0.003,0.4,0.026,0.017,27,13,서울 종로구 종로35가길 19
41,서울 종로구,도시대기,111123,종로구,2023010218,0.003,0.4,0.021,0.022,27,15,서울 종로구 종로35가길 19
42,서울 종로구,도시대기,111123,종로구,2023010219,0.003,0.4,0.021,0.022,27,12,서울 종로구 종로35가길 19
43,서울 종로구,도시대기,111123,종로구,2023010220,0.003,0.5,0.021,0.023,28,14,서울 종로구 종로35가길 19
44,서울 종로구,도시대기,111123,종로구,2023010221,0.003,0.6,0.017,0.026,29,17,서울 종로구 종로35가길 19
45,서울 종로구,도시대기,111123,종로구,2023010222,0.003,0.5,0.023,0.019,26,15,서울 종로구 종로35가길 19
46,서울 종로구,도시대기,111123,종로구,2023010223,0.003,0.4,0.024,0.018,27,17,서울 종로구 종로35가길 19
47,서울 종로구,도시대기,111123,종로구,2023010224,0.003,0.4,0.023,0.017,25,17,서울 종로구 종로35가길 19
48,서울 종로구,도시대기,111123,종로구,2023010301,0.003,0.5,0.015,0.026,25,19,서울 종로구 종로35가길 19
49,서울 종로구,도시대기,111123,종로구,2023010302,0.003,0.6,0.018,0.021,28,19,서울 종로구 종로35가길 19
50,서울 종로구,도시대기,111123,종로구,2023010303,0.003,0.6,0.012,0.028,26,16,서울 종로구 종로35가길 19
51,서울 종로구,도시대기,111123,종로구,2023010304,0.003,0.7,0.011,0.03,26,19,서울 종로구 종로35가길 19
52,서울 종로구,도시대기,111123,종로구,2023010305,0.003,0.6,0.01,0.03,26,18,서울 종로구 종로35가길 19
53,서울 종로구,도시대기,111123,종로구,2023010306,0.003,0.6,0.012,0.026,27,16,서울 종로구 종로35가길 19
54,서울 종로구,도시대기,111123,종로구,2023010307,0.003,0.9,0.003,0.04,24,18,서울 종로구 종로35가길 19
55,서울 종로구,도시대기,111123,종로구,2023010308,0.003,0.8,0.002,0.045,27,19,서울 종로구 종로35가길 19
56,서울 종로구,도시대기,111123,종로구,2023010309,0.004,0.9,0.003,0.05,35,21,서울 종로구 종로35가길 19
57,서울 종로구,도시대기,111123,종로구,2023010310,0.004,0.9,0.005,0.047,37,24,서울 종로구 종로35가길 19
58,서울 종로구,도시대기,111123,종로구,2023010311,0.0043,0.97,0.0063,0.0484,44,30,서울 종로구 종로35가길 19
59,서울 종로구,도시대기,111123,종로구,2023010312,0.0042,0.52,0.0217,0.0219,41,24,서울 종로구 종로35가길 19
60,서울 종로구,도시대기,111123,종로구,2023010313,0.0039,0.47,0.023,0.0206,27,15,서울 종로구 종로35가길 19
61,서울 종로구,도시대기,111123,종로구,2023010314,0.0037,0.48,0.0227,0.0224,29,20,서울 종로구 종로35가길 19
62,서울 종로구,도시대기,111123,종로구,2023010315,0.0035,0.41,0.0292,0.0157,23,17,서울 종로구 종로35가길 19
63,서울 종로구,도시대기,111123,종로구,2023010316,0.0034,0.41,0.03,0.0153,23,13,서울 종로구 종로35가길 19
64,서울 종로구,도시대기,111123,종로구,2023010317,0.0033,0.44,0.025,0.0206,24,15,서울 종로구 종로35가길 19
65,서울 종로구,도시대기,111123,종로구,2023010318,0.0033,0.51,0.0225,0.0242,29,21,서울 종로구 종로35가길 19
66,서울 종로구,도시대기,111123,종로구,2023010319,0.0031,0.56,0.0205,0.0258,26,19,서울 종로구 종로35가길 19
67,서울 종로구,도시대기,111123,종로구,2023010320,0.0032,0.57,0.0151,0.0312,27,21,서울 종로구 종로35가길 19
68,서울 종로구,도시대기,111123,종로구,2023010321,0.0033,0.58,0.0149,0.0318,30,23,서울 종로구 종로35가길 19
69,서울 종로구,도시대기,111123,종로구,2023010322,0.0035,0.59,0.0119,0.0348,30,21,서울 종로구 종로35가길 19
70,서울 종로구,도시대기,111123,종로구,2023010323,0.0035,0.62,0.0114,0.035,27,18,서울 종로구 종로35가길 19
71,서울 종로구,도시대기,111123,종로구,2023010324,0.0033,0.82,0.006,0.0412,28,20,서울 종로구 종로35가길 19
72,서울 종로구,도시대기,111123,종로구,2023010401,0.0035,0.75,0.002,0.0493,28,22,서울 종로구 종로35가길 19
73,서울 종로구,도시대기,111123,종로구,2023010402,0.0032,0.7,0.0019,0.0486,28,20,서울 종로구 종로35가길 19
74,서울 종로구,도시대기,111123,종로구,2023010403,0.0034,0.82,0.0018,0.052,30,23,서울 종로구 종로35가길 19
75,서울 종로구,도시대기,111123,종로구,2023010404,0.0034,0.77,0.0017,0.0494,29,24,서울 종로구 종로35가길 19
76,서울 종로구,도시대기,111123,종로구,2023010405,0.0033,0.77,0.0016,0.0496,30,25,서울 종로구 종로35가길 19
77,서울 종로구,도시대기,111123,종로구,2023010406,0.0036,0.77,0.0014,0.0492,29,23,서울 종로구 종로35가길 19
78,서울 종로구,도시대기,111123,종로구,2023010407,0.0038,0.82,0.0016,0.0513,30,23,서울 종로구 종로35가길 19
79,서울 종로구,도시대기,111123,종로구,2023010408,0.0038,0.99,0.0018,0.055,33,27,서울 종로구 종로35가길 19
80,서울 종로구,도시대기,111123,종로구,2023010409,0.0039,0.98,0.0021,0.0559,37,28,서울 종로구 종로35가길 19
81,서울 종로구,도시대기,111123,종로구,2023010410,0.0043,0.85,0.0049,0.0511,32,23,서울 종로구 종로35가길 19
82,서울 종로구,도시대기,111123,종로구,2023010411,0.0048,0.96,0.0063,0.0512,44,32,서울 종로구 종로35가길 19
83,서울 종로구,도시대기,111123,종로구,2023010412,0.0046,0.84,0.0118,0.0459,52,38,서울 종로구 종로35가길 19
84,서울 종로구,도시대기,111123,종로구,2023010413,0.0042,0.54,0.0233,0.0254,40,28,서울 종로구 종로35가길 19
85,서울 종로구,도시대기,111123,종로구,2023010414,0.0041,0.52,0.0273,0.0227,32,23,서울 종로구 종로35가길 19
86,서울 종로구,도시대기,111123,종로구,2023010415,0.004,0.46,0.0319,0.0178,28,21,서울 종로구 종로35가길 19
87,서울 종로구,도시대기,111123,종로구,2023010416,0.0038,0.47,0.0335,0.0187,30,24,서울 종로구 종로35가길 19
88,서울 종로구,도시대기,111123,종로구,2023010417,0.0036,0.46,0.0318,0.0199,32,23,서울 종로구 종로35가길 19
89,서울 종로구,도시대기,111123,종로구,2023010418,0.0037,0.53,0.0237,0.028,38,27,서울 종로구 종로35가길 19
90,서울 종로구,도시대기,111123,종로구,2023010419,0.0036,0.69,0.0103,0.042,38,31,서울 종로구 종로35가길 19
91,서울 종로구,도시대기,111123,종로구,2023010420,0.0034,0.64,0.0077,0.0431,36,29,서울 종로구 종로35가길 19
92,서울 종로구,도시대기,111123,종로구,2023010421,0.0033,0.63,0.013,0.0367,34,26,서울 종로구 종로35가길 19
93,서울 종로구,도시대기,111123,종로구,2023010422,0.0034,0.59,0.0139,0.0366,32,24,서울 종로구 종로35가길 19
94,서울 종로구,도시대기,111123,종로구,2023010423,0.0034,0.66,0.015,0.0368,34,28,서울 종로구 종로35가길 19
95,서울 종로구,도시대기,111123,종로구,2023010424,0.0034,0.74,0.0085,0.0436,36,28,서울 종로구 종로35가길 19
96,서울 종로구,도시대기,111123,종로구,2023010501,0.0033,0.88,0.0029,0.0551,37,30,서울 종로구 종로35가길 19
97,서울 종로구,도시대기,111123,종로구,2023010502,0.0036,0.95,0.0019,0.0577,35,29,서울 종로구 종로35가길 19
98,서울 종로구,도시대기,111123,종로구,2023010503,0.0037,1.1,0.0017,0.0609,35,31,서울 종로구 종로35가길 19
99,서울 종로구,도시대기,111123,종로구,2023010504,0.0037,1.06,0.0018,0.0593,36,30,서울 종로구 종로35가길 19
100,서울 종로구,도시대기,111123,종로구,2023010505,0.0035,1.03,0.0016,0.0546,35,30,서울 종로구 종로35가길 19
101,서울 종로구,도시대기,111123,종로구,2023010506,0.0035,0.96,0.0017,0.0551,34,29,서울 종로구 종로35가길 19
